CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
1.905	-0.8	0.7117	0.1048
1.905	-0.7	0.7143	0.0785
1.905	-0.5	0.7791	0.0534
1.905	-0.4	0.733	0.0353
1.905	-0.3	0.7535	0.0289
1.905	-0.2	0.7891	0.028
1.905	-0.1	0.8858	0.0338
1.905	0	0.9788	0.0347
1.905	0.1	1.1397	0.0441
1.905	0.2	1.1677	0.0363
1.905	0.3	1.348	0.0467
1.905	0.4	1.471	0.044
1.905	0.5	1.6134	0.0378
1.905	0.6	1.7304	0.0384
1.905	0.7	1.8644	0.0425
1.905	0.8	2.0789	0.0701
1.905	0.89	2.1933	0.1427
1.915	-0.8	0.7846	0.0905
1.915	-0.7	0.6683	0.0515
1.915	-0.6	0.7498	0.0405
1.915	-0.5	0.6765	0.0334
1.915	-0.4	0.6949	0.0289
1.915	-0.3	0.7021	0.0266
1.915	-0.2	0.7652	0.0261
1.915	-0.1	0.8587	0.0478
1.915	0	1.0056	0.0478
1.915	0.1	1.0797	0.0659
1.915	0.2	1.1697	0.039
1.915	0.3	1.2855	0.0365
1.915	0.4	1.4555	0.0386
1.915	0.5	1.6348	0.0374
1.915	0.6	1.7435	0.0361
1.915	0.7	2.0098	0.0427
1.915	0.8	2.0494	0.0668
1.915	0.89	2.5007	0.1558
1.925	-0.8	0.8945	0.112
1.925	-0.7	0.7452	0.0603
1.925	-0.6	0.7135	0.0421
1.925	-0.5	0.6246	0.0343
1.925	-0.4	0.6089	0.0287
1.925	-0.3	0.701	0.0287
1.925	-0.2	0.7076	0.0274
1.925	-0.1	0.8132	0.0323
1.925	0	0.919	0.0322
1.925	0.1	1.009	0.0409
1.925	0.2	1.1661	0.0332
1.925	0.3	1.3574	0.035
1.925	0.4	1.4511	0.0398
1.925	0.5	1.5708	0.0379
1.925	0.6	1.8173	0.0401
1.925	0.7	1.9204	0.0449
1.925	0.8	2.0687	0.0604
1.925	0.89	2.5138	0.1651
1.935	-0.8	0.8019	0.0913
1.935	-0.7	0.6809	0.0479
1.935	-0.6	0.6481	0.0415
1.935	-0.5	0.6788	0.0464
1.935	-0.4	0.5351	0.0579
1.935	-0.3	0.5145	0.0282
1.935	-0.2	0.6652	0.0249
1.935	-0.1	0.7521	0.0291
1.935	0	0.8608	0.0288
1.935	0.1	1.073	0.0417
1.935	0.2	1.087	0.0291
1.935	0.3	1.2966	0.0318
1.935	0.4	1.3857	0.0358
1.935	0.5	1.5145	0.0353
1.935	0.6	1.6909	0.0368
1.935	0.7	1.9961	0.0433
1.935	0.8	2.0156	0.0539
1.935	0.89	2.5325	0.1403
1.945	-0.8	0.9631	0.1117
1.945	-0.7	0.6629	0.0634
1.945	-0.6	0.6188	0.0386
1.945	-0.5	0.636	0.0421
1.945	-0.4	0.551	0.0302
1.945	-0.3	0.5619	0.0306
1.945	-0.2	0.6074	0.0406
1.945	-0.1	0.6906	0.0299
1.945	0	0.8618	0.0305
1.945	0.1	1.0415	0.0424
1.945	0.2	1.0599	0.0299
1.945	0.3	1.2736	0.034
1.945	0.4	1.4754	0.0416
1.945	0.5	1.5362	0.0446
1.945	0.6	1.788	0.0402
1.945	0.7	2.0345	0.0457
1.945	0.8	2.0836	0.0592
1.945	0.89	2.3507	0.1262
1.965	-0.9	1.0288	0.221
1.965	-0.8	0.8887	0.1189
1.965	-0.69	0.7765	0.2766
1.965	-0.6	0.6063	0.0805
1.965	-0.5	0.483	0.0522
1.965	-0.4	0.4501	0.0161
1.965	-0.3	0.4806	0.0153
1.965	-0.2	0.5281	0.0153
1.965	-0.1	0.617	0.018
1.965	0	0.7423	0.0184
1.965	0.1	0.9113	0.0259
1.965	0.2	0.9915	0.0191
1.965	0.3	1.196	0.0216
1.965	0.4	1.3663	0.0245
1.965	0.5	1.4298	0.0238
1.965	0.6	1.7131	0.03
1.965	0.7	1.909	0.0296
1.965	0.8	2.2226	0.0413
1.965	0.89	2.2172	0.0921
1.975	-0.9	0.8382	0.1706
1.975	-0.8	0.7838	0.0626
1.975	-0.7	0.667	0.0291
1.975	-0.6	0.5108	0.0217
1.975	-0.5	0.4282	0.0182
1.975	-0.4	0.3717	0.015
1.975	-0.3	0.3958	0.0145
1.975	-0.2	0.4621	0.0147
1.975	-0.1	0.5933	0.0184
1.975	0	0.6216	0.0171
1.975	0.1	0.865	0.026
1.975	0.2	0.9053	0.0183
1.975	0.3	1.1616	0.0221
1.975	0.4	1.3002	0.0246
1.975	0.5	1.4207	0.024
1.975	0.6	1.607	0.0255
1.975	0.7	1.7999	0.029
1.975	0.8	1.939	0.0379
1.975	0.89	2.1665	0.0997
1.985	-0.9	0.6158	0.1309
1.985	-0.8	0.9276	0.0779
1.985	-0.7	0.5732	0.035
1.985	-0.6	0.4817	0.0211
1.985	-0.5	0.3966	0.0186
1.985	-0.4	0.3553	0.0231
1.985	-0.3	0.3536	0.013
1.985	-0.2	0.4186	0.0137
1.985	-0.1	0.5043	0.0165
1.985	0	0.6745	0.0181
1.985	0.1	0.8063	0.0242
1.985	0.2	0.9182	0.0185
1.985	0.3	1.1102	0.0209
1.985	0.4	1.2488	0.0235
1.985	0.5	1.5167	0.0251
1.985	0.6	1.6239	0.0283
1.985	0.7	1.8648	0.0294
1.985	0.8	1.8724	0.0364
1.985	0.89	1.8344	0.073
1.995	-0.9	0.7231	0.2327
1.995	-0.8	0.7439	0.0605
1.995	-0.7	0.533	0.0267
1.995	-0.6	0.4371	0.0215
1.995	-0.5	0.3955	0.0217
1.995	-0.4	0.3038	0.0257
1.995	-0.3	0.333	0.0135
1.995	-0.2	0.3636	0.0132
1.995	-0.1	0.5097	0.0178
1.995	0	0.6273	0.0186
